i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
35,71680,50.52071415526526,59.742743879556656,29,106,2,1,1,0,175,1,0,-2.505793831878774
35,71680,55.02794026363668,56.58659623037997,7,88.49999999999999,5,4,2,1,139,1,0,-1.170341034775123
35,71680,44.44565962621709,37.19816149387043,0,129.15075,21,20,4,3,0,1,0,-2.8102830122887674
36,73728,52.76050886022858,67.5264757417608,118,120.77198124999997,5,4,5,4,0,0,0,-6.897851580525882
36,73728,58.203364691111894,67.31328857749436,52,159.0,3,2,2,1,226,1,0,-3.5451851552043823
36,73728,47.17063901189249,36.35721988102887,17,131.938,22,21,4,3,0,1,0,-3.592370727212755
36,73728,53.79168781700559,59.63332894116796,41,127.33774999999999,2,1,4,3,191,1,0,-3.2365233912551323
36,73728,57.89030860469211,72.96006315445993,2,148,2,1,1,1,0,0,0,-4.558839465418266
37,75776,45.79332890721519,30.16079945510693,1,151.54912499999995,11,10,4,3,178,1,0,-1.70415839458726
37,75776,46.856292243313604,34.964604526171534,4,177.33749999999998,21,20,3,2,254,2,2,-2.259943195645578
37,75776,51.232829852961004,74.39088097889908,119,127.14999999999999,6,5,2,1,0,0,0,-6.697014930765057
37,75776,55.88816095445607,63.573293875198104,27,104.64999999999999,5,4,2,1,185,4,3,-2.4754464297990304
37,75776,58.22021999114821,70.79106372196314,51,86.97296874999999,4,3,5,4,172,2,1,-3.1520240865452833
38,77824,56.84466780463265,61.99722894767331,29,178.85,4,3,2,1,236,1,1,-3.134726446772059
38,77824,49.72431104106363,62.196963699534535,93,135.15,8,7,2,1,0,0,0,-6.000336903795202
38,77824,60.78104996663887,68.9651105791157,43,95,4,3,1,0,172,3,2,-3.003281574386967
38,77824,60.78500217526634,67.84819154596397,37,94.24238120312498,4,3,7,6,173,2,1,-2.73324813436724
38,77824,47.38872973830439,41.059950782801025,4,,11,11,0,0,0,0,0,-3.1210841647330754
39,79872,64.08283694763668,74.92150188918458,109,141.64999999999998,2,1,2,1,0,0,0,-7.414277063272413
39,79872,75.23096825975877,85.11568154752642,74,52,2,1,1,0,154,1,0,-3.7469681205655383
39,79872,57.14019333827309,65.83273788710358,56,151.25198124999997,4,3,5,4,0,0,0,-5.8267199367787805
39,79872,60.5627228927915,75.44072724849684,11,128.88025,2,1,4,4,0,0,0,-4.8973781695999286
39,79872,44.12301528500393,32.37044609268196,26,214.14999999999998,7,6,2,1,0,0,0,-4.542293294177023
40,81920,54.820303281303495,70.70164631732041,91,135.07762499999998,5,4,4,3,0,0,0,-5.920077345288707
40,81920,73.41140095668379,69.82423948211363,0,,6,5,0,0,0,0,0,-5.039460652595233
40,81920,58.38089530302592,66.62761904689341,43,107.39499999999998,2,1,3,2,191,1,0,-3.2099844341576147
40,81920,44.31335969711654,40.56573374837171,70,179.22525,5,4,4,3,0,0,0,-6.600446786123649
40,81920,49.46345065836795,43.648656918958295,16,200.78999999999996,11,10,3,2,0,4,3,-3.299534999832055
41,83968,66.52681090199621,70.6341374781914,10,126.95710624999998,7,6,5,5,0,0,0,-5.122785380604105
41,83968,53.79339199862443,74.20746610732749,122,127.29499999999999,2,1,3,2,0,0,0,-7.0645820384330795
41,83968,56.87543345468767,64.67970145887203,37,113.81424648437499,2,1,7,6,178,3,2,-2.908375575897454
41,83968,58.5759871283879,63.112366453245066,41,133.1112571875,2,1,6,5,207,2,1,-3.3063253555364667
41,83968,57.646888424642384,77.31473684543744,1,185.8211918210499,2,1,30,30,0,0,0,-5.3007470185718955
42,86016,54.24560540996026,66.27123441139702,3,189.34370718750003,5,4,6,5,0,0,0,-4.181112492640474
42,86016,54.737362067680806,56.452516705030575,95,152.82849999999996,3,2,4,3,0,0,0,-7.306521253536484
42,86016,60.18444185319822,76.09776491881348,96,144.0126990195312,4,3,8,8,0,0,0,-6.901458539672916
42,86016,49.21000138274394,40.17136633337941,22,225.75,6,5,2,1,0,0,0,-4.728692674496516
42,86016,55.15980901545845,59.23194106435403,85,169.1,3,2,2,1,0,0,0,-6.858030691165698
43,88064,52.665150005486794,66.95556688064244,33,166,4,3,1,1,0,0,0,-5.254643001057503
43,88064,54.18222831503954,37.53438552230364,0,,6,5,0,0,0,0,0,-4.650821149282692
43,88064,56.72432213323191,59.20498187333578,37,170.9825,7,6,3,2,0,0,0,-5.5125876380380685
43,88064,67.77914629337636,74.11023034773608,59,79,3,2,1,0,188,1,0,-3.5388079645021953
43,88064,55.274864623788744,72.09571648709243,116,118.29499999999999,2,1,3,2,0,0,0,-6.676616924193427
44,90112,64.00071639800444,69.64357552933507,113,193,3,2,1,0,0,0,0,-7.598231441186038
44,90112,56.402213250112254,56.55488810734823,58,177.4475,3,2,3,2,0,0,0,-6.398785453285815
44,90112,71.46837904292624,77.27415488916449,71,60.77499999999999,3,2,3,2,0,0,0,-6.978498895385544
44,90112,62.087419503950514,66.87993269879371,17,146,3,2,1,1,0,0,0,-4.941415639403091
44,90112,78.79323520173784,94.1213933576364,36,46.9,1,0,2,2,0,0,0,-5.663871738757236
45,92160,48.9593622420216,31.26621560222702,41,,7,6,0,0,0,0,0,-6.1970021215682864
45,92160,62.192423037927725,59.94133311484394,48,184.51586116785154,5,4,9,9,232,0,0,-4.772892469437276
45,92160,56.40292444586521,57.71668522502296,50,207.74312499999996,5,4,4,3,0,0,0,-5.584674987542632
45,92160,51.17330741340993,53.20856110920431,22,214.26274999999998,11,10,4,3,0,0,0,-3.9372416471100804
45,92160,55.44939318206161,68.63442470203154,0,142.21749999999997,6,5,3,3,0,0,0,-4.632203176569809
46,94208,64.84636183013208,80.69064747396624,100,153,2,1,1,0,0,0,0,-6.774686457574725
46,94208,46.919031886500306,40.84619817294879,4,209,5,4,1,1,0,0,0,-4.56193787733989
46,94208,61.043960781535134,56.28869728243444,61,250,22,21,1,0,0,1,0,-5.692260767637873
46,94208,51.77387490111869,56.679396978142904,20,197,8,7,1,1,0,0,0,-5.779736301730178
46,94208,67.12585099739954,76.82577169471188,67,226.14999999999998,6,5,2,2,0,0,0,-6.7613019551146705
47,96256,69.79484293842688,94.41750200057868,73,58.51324999999999,1,0,4,3,0,0,0,-5.999833316599418
47,96256,64.66873384197243,65.42815968277864,53,216.005,6,5,3,2,0,2,2,-4.881290385552144
47,96256,53.37946181243751,52.23645409278106,63,201.1,9,9,2,2,0,0,0,-6.467116152742242
47,96256,62.31655439187307,63.71076219074894,62,224.5,13,12,2,1,0,0,0,-6.298651414685245
47,96256,65.54532126174308,71.56528465857264,65,213,8,7,1,0,0,0,0,-6.180529559198491
48,98304,60.96772439486813,67.80620595818618,59,228.84,7,6,3,3,0,0,0,-6.601708324398007
48,98304,34.92969291401096,11.33760941302171,2,,15,15,0,0,0,0,0,-3.624994590282762
48,98304,57.64294263066315,54.922830199868216,45,220.113,11,10,4,4,246,2,0,-4.3795924972093845
48,98304,80.8226544722434,90.00927209613785,71,48.53349999999999,1,0,4,3,155,2,1,-3.6547515200122014
48,98304,60.80110245529795,62.46463737916201,50,210.56999999999996,7,6,3,3,0,0,0,-6.168079212228326
49,100352,50.12306081043789,58.44724804046564,66,182.75520406249998,6,5,6,5,0,0,0,-5.8795463116644395
49,100352,46.74169223411495,31.045772085886405,14,178.8347,22,21,5,4,249,0,2,-2.7602051155442138
49,100352,57.76663648430258,67.63950313761597,75,216.64999999999998,11,10,2,1,0,0,0,-6.443155673109608
49,100352,58.53625614784266,63.11448647395561,41,110.42688839062497,5,4,7,6,190,1,1,-3.2933694197612438
49,100352,58.12747133539078,53.97296332932533,40,210.75,10,9,2,1,235,1,1,-4.113382069377224
50,102400,53.96088422825618,59.79335443203494,25,98.98148749999999,7,6,5,4,161,2,1,-2.4532623496755552
50,102400,43.37463246192783,25.894884625449777,0,160.55787499999997,28,27,4,4,0,1,1,-2.904861612691742
50,102400,50.40383762620038,37.9230766337317,1,185.07578124999998,20,19,5,4,233,3,2,-1.9689148532601854
50,102400,44.568822500878014,47.60709498077631,0,158.17715631406244,12,11,8,7,0,0,0,-3.5527095014410675
50,102400,51.22278229631845,49.75863430034188,15,152.53534125,17,16,6,5,206,1,0,-2.4335996691087627
51,104448,58.672011790281914,67.53096265440925,33,112,2,1,1,0,188,3,2,-2.695221537721705
51,104448,54.60670790681154,44.410046704556095,3,177,11,10,1,0,202,1,0,-1.9226268065929548
