i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
33,67584,69.37866747072063,91.75257731958763,0,56.3,1,0,2,1,97,0,0,0.2605309433051266
33,67584,69.01705425153388,91.48936170212765,0,55.15,1,0,2,1,94,1,0,0.4942592076758853
34,69632,69.15199325665047,91.57894736842105,0,54.82037499999999,1,0,4,3,95,0,0,0.33994699407574497
34,69632,67.98753968261659,91.48936170212765,0,56,1,0,1,0,94,1,0,0.5626672909867195
34,69632,68.80326442584231,91.20879120879121,0,55.1,1,0,2,1,91,1,0,0.58420246569279
34,69632,69.02105956485397,91.57894736842105,0,55.1,1,0,2,1,95,1,0,0.5237238609794919
34,69632,68.48113533697631,91.57894736842105,0,56.199999999999996,1,0,2,1,95,1,0,0.4699297507045443
35,71680,67.96578678392595,91.39784946236558,0,53.099999999999994,1,0,2,1,93,1,0,0.5439393612558014
35,71680,68.89999750208982,91.48936170212765,0,55.15,1,0,2,1,94,1,0,0.4901988010903714
35,71680,67.51836132987037,91.30434782608695,0,54.099999999999994,1,0,2,1,92,1,0,0.5844656442083073
35,71680,67.95775857103128,91.39784946236558,0,53.099999999999994,1,0,2,1,93,1,0,0.5818771928690462
35,71680,67.56837888767845,91.57894736842105,0,58.099999999999994,1,0,2,1,95,1,0,0.39627725353554005
36,73728,66.74128629113595,91.75257731958763,3,55.1,1,0,2,1,97,1,0,0.1661767702195361
36,73728,67.44843916594982,92.0,5,60,1,0,1,0,100,1,0,-0.05137125206544283
36,73728,68.58037859201431,91.75257731958763,1,56.15,1,0,2,1,97,1,0,0.1376994625135667
36,73728,67.41441486713786,91.66666666666667,3,55.1,1,0,2,2,96,1,0,-0.011733088988482502
36,73728,69.11716457576522,91.39784946236558,0,53.099999999999994,1,0,2,1,93,1,0,0.439687608940007
37,75776,70.37605669828925,92.60923452306501,6,57,1,0,1,0,101,2,1,-0.17819549905585044
37,75776,68.74780172109604,92.53524881601334,8,55,1,0,1,0,100,2,1,-0.1984300047411867
37,75776,72.17373691188793,92.24631506949663,3,54.34499999999999,1,0,3,2,96,1,0,0.09008703124104593
37,75776,53.10265763432949,94.8051948051948,65,59.099999999999994,1,0,2,1,154,1,0,-2.883278148110234
37,75776,54.44189874331156,95.02698610226314,61,53,1,0,1,0,150,2,1,-2.6946847167847476
38,77824,71.77090186280074,92.42464141132905,2,56.099999999999994,1,0,2,1,97,1,0,0.2252317022441459
38,77824,72.05935998494367,91.1155755799937,3,51.15,1,0,2,1,83,1,0,0.37083519621559907
38,77824,70.68951657892745,89.035594003436,5,49.199999999999996,1,0,2,1,81,0,0,0.11250621002159172
38,77824,71.93739926908165,90.0,3,49,1,0,1,0,80,1,0,0.3787257791298998
38,77824,72.138186935813,89.74358974358974,1,48.099999999999994,1,0,2,1,78,1,0,0.613491092852333
39,79872,73.47552680610856,87.86098677900773,2,48.099999999999994,1,0,2,1,79,1,0,0.3592455861120259
39,79872,72.98028997145593,89.3320044875145,2,47.199999999999996,1,0,2,1,80,1,0,0.537286051000715
39,79872,70.64593731470052,90.47619047619048,9,47.15,1,0,2,1,84,1,0,-0.07745870251735082
39,79872,69.41583237570265,91.30434782608695,1,57.1,1,0,2,1,92,1,0,0.15501647217769093
39,79872,68.9945674976524,92.10359958969816,4,53.14999999999999,1,0,2,1,98,1,0,0.04854848286409469
40,81920,64.08312969046449,92.83166823037173,17,54,1,0,1,0,109,1,0,-0.7323189748309071
40,81920,68.08653484331444,91.66666666666667,2,54.15,1,0,2,1,96,1,0,0.20914873722876312
40,81920,71.52778223315453,91.19786195298458,0,54.199999999999996,1,0,2,1,94,1,0,0.3002463350704602
40,81920,67.7728334729819,92.00065123666194,2,54,1,0,1,0,97,2,1,0.28121851978398743
40,81920,65.92064344761323,91.97600739342826,2,58,1,0,1,0,98,1,0,0.16859953183533335
41,83968,66.17345484075966,91.20879120879121,0,53,1,0,1,0,91,1,0,0.47168339937470316
41,83968,67.3555213958025,91.20879120879121,0,52.15,1,0,2,1,91,1,0,0.5329674649127683
41,83968,66.60780709769044,91.20879120879121,0,52.15,1,0,2,1,91,1,0,0.4917861417862425
41,83968,71.31240325429107,91.96146457426009,0,53.442499999999995,1,0,3,2,93,1,0,0.4387913418800675
41,83968,66.6419471654555,91.7914180651955,0,53,1,0,1,0,92,1,0,0.5921115050951531
42,86016,67.08375532568122,92.0934297144413,4,52.15,1,0,2,1,96,1,0,0.14930665774852767
42,86016,67.69274924274372,91.77506494781245,1,52.1,1,0,2,1,92,1,0,0.4708398833759324
42,86016,70.08454903312351,91.80886745452881,1,51.099999999999994,1,0,2,1,92,1,0,0.5449252389878811
42,86016,67.56286514432807,92.04985725252251,4,52.1,1,0,2,1,95,1,0,0.21697413905496124
42,86016,68.8616655291395,91.97036344954309,0,53.099999999999994,1,0,2,1,94,1,0,0.44559249600189876
43,88064,61.62924414451143,93.04244307290136,23,57,1,0,1,0,113,2,1,-1.1259787803207877
43,88064,66.56273790080138,92.07617297317043,8,54.099999999999994,1,0,2,1,99,1,0,-0.14617290901032856
43,88064,57.35055228310918,93.77868137662372,37,54.099999999999994,1,0,2,1,126,1,0,-1.7927489037486137
43,88064,66.89427645599588,91.63612888214436,9,55,1,0,1,0,94,1,0,-0.18639116443049314
43,88064,57.189521439804516,93.4785447830011,36,55,1,0,1,0,121,1,0,-1.7206218108788263
44,90112,60.380378071414796,93.10607078828309,27,55.1,1,0,2,1,114,1,0,-1.3161851974596506
44,90112,67.77456913904477,91.52945997894452,3,56.099999999999994,1,0,2,1,93,1,0,0.06299331493787819
44,90112,71.03382232396498,91.44567737112875,3,58.099999999999994,1,0,2,1,92,1,0,0.12102374175360013
44,90112,68.49058024261309,91.42935839684114,4,56.099999999999994,1,0,2,1,92,1,0,0.07225943105339716
44,90112,68.89316767771193,91.75446363205606,3,56.099999999999994,1,0,2,1,94,1,0,0.014597633144384848
45,92160,66.04804051263879,91.41054687400658,9,55.1,1,0,2,1,96,1,0,-0.09155877629838116
45,92160,70.64695210083501,90.87427186441946,0,58.14999999999999,1,0,2,1,91,1,0,0.301493785583371
45,92160,68.78841028445297,91.11111111111111,0,59,1,0,1,0,90,1,0,0.38818276746889985
