Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
40960,32.269367430126294,42.0474590966478,3,75.09386249999999,1,0,5,4,120,2,1,-0.4533606811881459
40960,31.518035026965663,36.23867644928396,4,32.6653125,1,0,5,4,105,1,1,0.084138082642923
40960,29.396834909857716,33.608495350927114,20,30.546519374999995,1,0,6,5,101,1,1,-0.4343585299601639
43008,68.89012202445883,66.69289269193541,14,109.316026209716,3,2,12,11,228,1,0,-1.8305447473310061
43008,36.82064879103564,35.03852172289044,5,70.45751843749997,2,1,6,6,124,4,3,-0.5998533403544783
43008,32.64786260842811,37.9771760199219,1,55.24405062500001,1,0,6,5,111,2,1,-0.10655443703581408
45056,41.05969021329656,37.74820053949952,0,56,2,1,1,0,124,1,0,-0.1146056696063198
45056,28.0838081962429,31.14320908789523,2,35.75,1,0,2,1,92,3,2,0.22400635903965904
45056,30.64014929404948,31.133468507323414,3,41.863875,1,0,4,3,92,1,0,0.2030036420688756
47104,84.06759104400408,41.9047614599549,0,,0,0,0,0,0,0,0,-8.81731704210293
47104,99.36332707293332,40.8627283097303,0,,0,0,0,0,0,0,0,-8.650183348489776
47104,98.66686280292924,41.2424944632221,0,,1,1,0,0,0,0,0,-8.608372052761709
32768,28.185170999495313,31.027883040951565,1,29.322375,1,0,4,3,90,1,0,0.29446118328794746
32768,36.74177876673639,51.24137692619115,0,38.586175,1,0,5,4,138,5,4,-0.18963925419215566
32768,53.35111557506025,97.24462978774682,1,50.72000625,1,0,5,4,0,0,0,-2.369298634017153
34816,45.79599155113101,96.83812235816731,0,31.349999999999998,1,0,2,1,0,0,0,-2.599437106893358
34816,47.25115553010255,96.27641097758897,5,30.122499999999995,1,0,3,2,0,0,0,-2.5759520262893685
34816,60.09550519520417,82.05913233978208,6,74.929794375,1,0,6,6,0,0,0,-3.8961298661594372
34816,24.462359806057066,29.826550686266273,0,25.1,1,0,2,1,84,1,0,0.4492092763345618
34816,27.935261208040174,34.2389703146182,2,30.072531249999997,1,0,5,4,97,1,0,0.19496037379469003
34816,27.081144915428013,33.60937577672303,2,35.04274999999999,1,0,4,4,95,1,0,0.11182499787298034
36864,26.23015608114656,32.936809211969376,0,33.14512499999999,1,0,4,3,93,1,0,0.3537962365964578
36864,29.21691144874785,33.97066270117648,2,29.179110593749996,1,0,7,6,98,1,1,0.17053330062944957
36864,33.38865413097665,39.94381894590333,3,29.162599999999994,1,0,5,4,114,2,1,0.0642804460636105
38912,34.02616579696769,38.4718811372295,3,44.01149999999999,1,0,5,4,106,2,1,-0.06080319885060326
38912,32.37501212279312,39.48974359664135,2,46.088024999999995,1,0,5,4,109,2,0,0.05295440295176823
38912,31.55914038652554,39.316809095907956,0,40.657500000000006,1,0,3,2,109,5,5,0.05898591955663546
40960,43.7532561016269,66.77427160320804,8,62.88329999999999,1,0,5,4,185,3,1,-1.361152608372046
40960,53.517846774775535,95.21169465733692,0,45.045,1,0,3,2,0,1,1,-2.776637872370026
40960,52.755280217388645,85.88240173412487,4,75.7877634375,1,0,6,5,233,2,2,-1.5409347804359583
43008,46.83319554751506,57.554895943030715,8,73.58422919458974,1,0,11,10,163,1,0,-1.2385895709299584
43008,46.64042112272,48.08787162764929,2,50.436608749999984,2,1,6,5,174,4,3,-1.1267845424446443
43008,45.5393896336318,60.335497310734354,6,42.842499999999994,1,0,3,2,167,2,1,-1.015101546675144
45056,54.571452233358286,94.117727864068,2,70.49298748503907,1,0,9,8,0,2,2,-2.996244685283592
45056,75.2589227296994,77.67280549742281,30,90.21937921834763,2,2,10,10,0,3,2,-3.0006984385144664
45056,57.13848398299888,85.4586990782991,5,68.76420465624997,1,1,8,8,233,6,5,-1.9579977834278846
47104,45.93955505406484,95.34240661305375,0,51,1,0,1,0,0,0,0,-3.1500503763067518
47104,49.89430586574599,78.29753630212508,3,60.28733125,1,0,5,4,213,4,3,-1.2030367231678247
47104,47.70347815938294,72.36867722822353,2,53.95,1,0,2,1,197,2,1,-1.1132996202896392
49152,37.75273476494476,45.66485382383689,4,54.996960312499986,1,0,6,6,127,7,7,-0.42765579281354393
49152,50.492863038380165,95.40995411807671,0,73.78753332265623,1,0,8,7,0,0,0,-3.0235198271387618
49152,50.49677255010465,95.6251920782961,1,45.97775378021678,1,0,10,9,0,1,1,-3.212339419591362
51200,54.74409908638336,95.8802760404069,1,55.54043558937304,1,0,10,9,0,1,1,-3.0862139543147356
51200,53.97062126430683,77.64572352170944,8,82.03095140604422,1,0,11,10,211,3,2,-1.5962426922200108
51200,51.80600351013709,95.62332771602087,1,52.54,1,0,3,2,0,1,1,-3.056801285703712
53248,32.567664099042304,96.2746333447285,0,39.349999999999994,1,0,2,1,0,1,1,-2.9651359965961612
53248,40.3532217052998,96.06113746995106,3,55.94499999999999,1,0,3,2,0,4,3,-2.410923892710813
53248,31.180052223498933,96.35381909320131,0,38,1,0,1,0,0,0,0,-2.955722766035827
55296,34.89509232604178,72.62086885748431,1,47.11024999999999,1,0,4,3,196,3,2,-1.0615709651912328
55296,96.19476958177984,33.56220163441321,8,,7,6,0,0,0,0,0,-4.25997355280446
55296,32.95960825198563,88.7318256252911,1,44.745,1,0,3,2,237,2,1,-1.443056100006555
57344,40.19481696159346,95.53375556715764,2,59.1652543181433,1,0,14,13,0,0,0,-3.4415728505105463
57344,38.563555671134964,96.26164130531834,0,31,1,0,1,0,0,2,1,-2.4444134456990785
57344,34.58185566123575,96.57871652234462,0,45.05775,1,0,4,3,0,0,0,-2.9762285437812244
59392,38.01722848729696,47.800080305023585,146,189.14787499999997,3,2,4,3,0,2,1,-7.811662024866172
59392,47.97152763931081,72.61887481436133,0,48.05973125,1,0,5,4,194,3,2,-0.8463674477287659
59392,47.29207717173267,84.46116220584372,0,49.022875,1,0,4,3,224,3,2,-1.3208015541411888
61440,35.12548414582852,78.27746595721692,2,49.45,1,0,2,1,208,4,3,-1.2002309525044192
61440,37.068113320856355,85.29996362049133,13,70.376875,1,0,4,3,226,2,1,-1.7062026251578528
61440,25.40495085559087,97.02746595721692,0,45.58025,1,0,4,3,0,0,0,-2.966042255252698
63488,39.415366837056354,96.0482477908954,0,40,1,0,1,0,252,3,2,-1.6808654109168537
63488,37.9653288226109,81.9802642101422,0,25.2,1,0,2,2,216,2,1,-1.224420111582186
63488,40.0589935365133,63.7833064654842,1,53.26981249999999,1,0,5,4,170,9,8,-0.5293706859645736
65536,45.23505085671786,69.18522170744836,9,55.410225937499995,1,0,6,5,183,7,6,-0.8019659127904084
65536,35.32483240851434,97.70084670744836,0,42.26275,1,0,4,3,0,0,0,-3.0968096690541684
65536,36.66979106783401,97.64916189014912,2,41.7166290358203,1,0,9,8,0,0,0,-3.2408273016021605
67584,46.68644569464959,57.559819670859724,2,63.663043749999986,2,1,5,4,169,3,2,-0.6537431550805528
67584,50.49151847488247,77.3380984319374,0,53.585,1,0,3,2,206,3,2,-1.0921226774264947
67584,45.21773970336653,96.8908706214279,0,41,1,0,1,0,0,1,1,-2.676486767343678
